,Total Counts
06/02/2020,1000
06/02/2020.1,1000
06/02/2020.2,1000
06/02/2020.3,1000
22/07/2020,60000
22/07/2020.1,60000
22/07/2020.2,60000
22/07/2020.3,60000
22/07/2020.4,60000
22/07/2020.5,60000
22/07/2020.6,60000
22/07/2020.7,60000
22/07/2020.8,60000
22/07/2020.9,60000
22/07/2020.10,60000
22/07/2020.11,60000
22/07/2020.12,60000
22/07/2020.13,60000
22/07/2020.14,60000
08/07/2020,1000
08/07/2020.1,1000
08/07/2020.2,1000
15/07/2020,15000
15/07/2020.1,15000
15/07/2020.2,15000
15/07/2020.3,15000
15/07/2020.4,15000
15/07/2020.5,15000
30/06/2020,1000
30/06/2020.1,1000
30/06/2020.2,1000
30/06/2020.3,1000
10/06/2020,1500
10/06/2020.1,1500
10/06/2020.2,1500
10/06/2020.3,1500
10/06/2020.4,1500
10/06/2020.5,1500
17/06/2020,3000
17/06/2020.1,3000
17/06/2020.2,3000
17/06/2020.3,3000
17/06/2020.4,3000
17/06/2020.5,3000
17/06/2020.6,3000
17/06/2020.7,3000
17/06/2020.8,3000
17/06/2020.9,3000
05/08/2020,50000
05/08/2020.1,50000
05/08/2020.2,50000
05/08/2020.3,50000
05/08/2020.4,50000
05/08/2020.5,50000
05/08/2020.6,50000
05/08/2020.7,50000
05/08/2020.8,50000
05/08/2020.9,50000
05/08/2020.10,50000
05/08/2020.11,50000
05/08/2020.12,50000
05/08/2020.13,50000
23/02/2021,2300
10/03/2021,1200
15/03/2021,300
18/03/2021,3000
24/02/2021,1300
22/03/2021,3000
25/03/2021,1000
30/03/2021,1000
25/02/2021,1000
28/02/2021,1500
01/03/2021,3000
07/03/2021,2000
23/02/2021.1,2300
08/03/2021,2000
11/03/2021,1000
14/03/2021,3000
16/03/2021,1000
17/03/2021,2000
18/03/2021.1,3000
24/02/2021.1,1300
21/03/2021,3500
22/03/2021.1,3000
24/03/2021,5000
31/03/2021,5000
25/02/2021.1,1000
28/02/2021.1,1500
01/03/2021.1,3000
02/03/2021,1000
03/03/2021,1000
04/03/2021,2000
07/03/2021.1,2000
23/02/2021.2,2300
08/03/2021.1,2000
11/03/2021.1,1000
15/03/2021.1,300
16/03/2021.1,1000
17/03/2021.1,2000
18/03/2021.2,3000
24/02/2021.2,1300
24/03/2021.1,5000
25/03/2021.1,1000
29/03/2021,1000
31/03/2021.1,5000
25/02/2021.2,1000
28/02/2021.2,1500
01/03/2021.2,3000
02/03/2021.1,1000
03/03/2021.1,1000
07/03/2021.2,2000
23/02/2021.3,2300
08/03/2021.2,2000
09/03/2021,3000
16/03/2021.2,1000
18/03/2021.3,3000
24/02/2021.3,1300
21/03/2021.1,3500
24/03/2021.2,5000
25/03/2021.2,1000
31/03/2021.2,5000
25/02/2021.3,1000
28/02/2021.3,1500
01/03/2021.3,3000
02/03/2021.2,1000
03/03/2021.2,1000
04/03/2021.1,2000
23/02/2021.4,2300
10/03/2021.1,1200
16/03/2021.3,1000
24/02/2021.4,1300
21/03/2021.2,3500
25/02/2021.4,1000
28/02/2021.4,1500
01/03/2021.4,3000
02/03/2021.3,1000
04/03/2021.2,2000
07/03/2021.3,2000
23/02/2021.5,2300
08/03/2021.3,2000
09/03/2021.1,3000
10/03/2021.2,1200
11/03/2021.2,1000
14/03/2021.1,3000
15/03/2021.2,300
16/03/2021.4,1000
17/03/2021.2,2000
18/03/2021.4,3000
24/02/2021.5,1300
22/03/2021.2,3000
24/03/2021.3,5000
25/03/2021.3,1000
29/03/2021.1,1000
30/03/2021.1,1000
31/03/2021.3,5000
25/02/2021.5,1000
28/02/2021.5,1500
01/03/2021.5,3000
02/03/2021.4,1000
03/03/2021.3,1000
04/03/2021.3,2000
07/03/2021.4,2000
23/02/2021.6,2300
14/03/2021.2,3000
15/03/2021.3,300
17/03/2021.3,2000
18/03/2021.5,3000
24/02/2021.6,1300
21/03/2021.3,3500
22/03/2021.3,3000
25/03/2021.4,1000
30/03/2021.2,1000
28/02/2021.6,1500
01/03/2021.6,3000
03/03/2021.4,1000
04/03/2021.4,2000
07/03/2021.5,2000
